day,location,opponent,result,score,goals_for,goals_against,equipo
26,at,Bakersfield,T,0-0,0,0,Fullerton
29,vs,West Valley,L,3-0,3,0,Fullerton
31,vs,Lake Tahoe,W,3-2,3,2,Fullerton
5,at,Oxnard,L,1-0,1,0,Fullerton
9,at,Santa Monica,T,4-4,4,4,Fullerton
16,vs,Cuyamaca,L,4-1,4,1,Fullerton
23,vs,Norco,L,2-1,2,1,Fullerton
30,vs,Santa Ana,W,1-0,1,0,Fullerton
3,at,Cypress,T,1-1,1,1,Fullerton
7,at,Santiago Canyon,T,0-0,0,0,Fullerton
10,vs,Golden West,T,1-1,1,1,Fullerton
14,at,Saddleback,L,2-1,2,1,Fullerton
17,vs,Irvine Valley,L,4-2,4,2,Fullerton
21,at,Orange Coast,W,1-0,1,0,Fullerton
24,at,Santa Ana,W,2-0,2,0,Fullerton
28,vs,Cypress,W,1-0,1,0,Fullerton
31,vs,Santiago Canyon,W,3-0,3,0,Fullerton
4,at,Golden West,T,2-2,2,2,Fullerton
7,vs,Saddleback,W,3-0,3,0,Fullerton
12,at,Irvine Valley,T,0-0,0,0,Fullerton
14,vs,Orange Coast,W,2-1,2,1,Fullerton
19,vs,San Diego City,W,1-0,1,0,Fullerton
22,at,Cuyamaca,L,3-2,3,2,Fullerton
23,at,College of Southern Nevada,W,2-0,2,0,Fullerton
24,at,Arizona Western,L,2-0,2,0,Fullerton
27,vs,Yavapai Junior College,W,1-0,1,0,Fullerton
31,vs,Bakersfield,W,2-0,2,0,Fullerton
1,at,Norco,L,3-1,3,1,Fullerton
6,vs,Taft,T,1-1,1,1,Fullerton
13,at,Cuyamaca,W,2-0,2,0,Fullerton
17,vs,Santa Rosa,L,1-0,1,0,Fullerton
1,at,Cypress,T,1-1,1,1,Fullerton
4,vs,Orange Coast,W,2-1,2,1,Fullerton
8,at,Santiago Canyon,W,4-0,4,0,Fullerton
11,vs,Irvine Valley,W,2-1,2,1,Fullerton
15,at,Santa Ana,W,2-0,2,0,Fullerton
18,vs,Golden West,W,3-1,3,1,Fullerton
22,at,Saddleback,W,3-0,3,0,Fullerton
25,vs,Cypress,T,1-1,1,1,Fullerton
29,at,Orange Coast,W,1-0,1,0,Fullerton
1,vs,Santiago Canyon,W,2-0,2,0,Fullerton
5,at,Irvine Valley,W,3-2,3,2,Fullerton
8,vs,Santa Ana,T,0-0,0,0,Fullerton
12,at,Golden West,T,1-1,1,1,Fullerton
15,vs,Saddleback,W,1-0,1,0,Fullerton
23,vs,Los Angeles City,W,1-0,1,0,Fullerton
26,at,Long Beach,L,1-0,1,0,Fullerton
25,at,Chaffey,W,2-0,2,0,Fullerton
29,at,Bakersfield,W,2-1,2,1,Fullerton
1,vs,West Valley,W,3-2,3,2,Fullerton
3,vs,Richland College,L,4-1,4,1,Fullerton
7,at,Cañada,W,2-1,2,1,Fullerton
8,at,Santa Rosa,W,1-0,1,0,Fullerton
19,vs,Norco,W,2-1,2,1,Fullerton
22,vs,Cuyamaca,W,5-1,5,1,Fullerton
26,at,Orange Coast,W,4-0,4,0,Fullerton
29,vs,Irvine Valley,T,3-3,3,3,Fullerton
3,at,Santa Ana,W,2-1,2,1,Fullerton
6,vs,Saddleback,W,2-1,2,1,Fullerton
10,at,Santiago Canyon,W,2-0,2,0,Fullerton
13,vs,Cypress,W,4-0,4,0,Fullerton
17,at,Golden West,W,3-0,3,0,Fullerton
20,vs,Orange Coast,W,2-0,2,0,Fullerton
24,at,Irvine Valley,W,3-2,3,2,Fullerton
27,vs,Santa Ana,W,3-0,3,0,Fullerton
31,at,Saddleback,T,1-1,1,1,Fullerton
3,vs,Santiago Canyon,W,3-0,3,0,Fullerton
7,at,Cypress,L,2-1,2,1,Fullerton
9,vs,Golden West,W,4-1,4,1,Fullerton
18,vs,Santa Barbara,L,8-7,8,7,Fullerton
30,vs,Bakersfield,L,2-1,2,1,Fullerton
2,vs,Desert,L,2-1,2,1,Fullerton
4,vs,Lake Tahoe,W,1-0,1,0,Fullerton
7,vs,Chaffey,L,3-1,3,1,Fullerton
8,at,Cañada,W,2-1,2,1,Fullerton
10,at,Santa Rosa,W,2-0,2,0,Fullerton
13,vs,Oxnard,T,1-1,1,1,Fullerton
20,at,Fresno City,W,1-0,1,0,Fullerton
23,at,Cuyamaca,T,2-2,2,2,Fullerton
27,vs,Cypress,L,1-0,1,0,Fullerton
30,at,Santiago Canyon,W,7-1,7,1,Fullerton
4,at,Golden West,W,2-0,2,0,Fullerton
14,vs,Irvine Valley,T,0-0,0,0,Fullerton
17,at,Orange Coast,W,5-0,5,0,Fullerton
18,vs,Santa Ana,W,3-0,3,0,Fullerton
21,at,Cypress,T,1-1,1,1,Fullerton
25,vs,Santiago Canyon,W,3-1,3,1,Fullerton
28,vs,Golden West,W,2-1,2,1,Fullerton
