equipo,temporada,day,local_code,oponente,resultado_code,score,goals_for,goals_against,mes,mes_num,team_academic_rank,home_advantage,opponent_quality,local_visitante
Fullerton,2025-2026,26,at,Bakersfield,T,0-0,0,0,August,8,41,0,0.5,Visitante
Fullerton,2025-2026,29,vs,West Valley,L,3-0,3,0,August,8,41,1,0.5,Local
Fullerton,2025-2026,31,vs,Lake Tahoe,W,3-2,3,2,August,8,41,1,0.5,Local
Fullerton,2025-2026,5,at,Oxnard,L,1-0,1,0,September,9,41,0,0.5,Visitante
Fullerton,2025-2026,9,at,Santa Monica,T,4-4,4,4,September,9,41,0,0.5,Visitante
Fullerton,2025-2026,16,vs,Cuyamaca,L,4-1,4,1,September,9,41,1,0.5,Local
Fullerton,2025-2026,23,vs,Norco,L,2-1,2,1,September,9,41,1,0.5,Local
Fullerton,2025-2026,30,vs,Santa Ana,W,1-0,1,0,September,9,41,1,0.5,Local
Fullerton,2025-2026,3,at,Cypress,T,1-1,1,1,October,10,41,0,0.5,Visitante
Fullerton,2025-2026,7,at,Santiago Canyon,T,0-0,0,0,October,10,41,0,0.5,Visitante
Fullerton,2025-2026,10,vs,Golden West,T,1-1,1,1,October,10,41,1,0.5,Local
Fullerton,2025-2026,14,at,Saddleback,L,2-1,2,1,October,10,41,0,0.5,Visitante
Fullerton,2025-2026,17,vs,Irvine Valley,L,4-2,4,2,October,10,41,1,0.5,Local
Fullerton,2025-2026,21,at,Orange Coast,W,1-0,1,0,October,10,41,0,0.5,Visitante
Fullerton,2025-2026,24,at,Santa Ana,W,2-0,2,0,October,10,41,0,0.5,Visitante
Fullerton,2025-2026,28,vs,Cypress,W,1-0,1,0,October,10,41,1,0.5,Local
Fullerton,2025-2026,31,vs,Santiago Canyon,W,3-0,3,0,October,10,41,1,0.5,Local
Fullerton,2025-2026,4,at,Golden West,T,2-2,2,2,November,11,41,0,0.5,Visitante
Fullerton,2025-2026,7,vs,Saddleback,W,3-0,3,0,November,11,41,1,0.5,Local
Fullerton,2025-2026,12,at,Irvine Valley,T,0-0,0,0,November,11,41,0,0.5,Visitante
Fullerton,2025-2026,14,vs,Orange Coast,W,2-1,2,1,November,11,41,1,0.5,Local
Fullerton,2025-2026,19,vs,San Diego City,W,1-0,1,0,November,11,41,1,0.5,Local
Fullerton,2025-2026,22,at,Cuyamaca,L,3-2,3,2,November,11,41,0,0.5,Visitante
Fullerton,2024-2025,23,at,College of Southern Nevada,W,2-0,2,0,August,8,41,0,0.5,Visitante
